Index,Type,Condition_label,Stem_ending_cyrillic,Stem_ending_IPA,Group,Partial_filename,Form_1_sg_present_non_existing_verb,Whether_a_condition_with_an_unstressed_verb_exists,Form_1_sg_present_existing_verb,Form_3_sg_present_non_existing_verb,Form_3_sg_present_existing_verb,Form_3_pl_present_non_existing_verb,Form_3_pl_present_existing_verb,Form_3_sg_imperfect_non_existing_verb,Form_3_sg_imperfect_existing_verb,Form_3_pl_imperfect_non_existing_verb_correct_form,Form_3_pl_imperfect_existing_verb_correct_form,Form_3_pl_imperfect_non_existing_verb_ja_form,Form_3_pl_imperfect_existing_verb_ja_form,Form_3_pl_imperfect_non_existing_verb_e_form,Form_3_pl_imperfect_existing_verb_e_form,Form_3_pl_imperfect_non_existing_verb_a_form,Form_3_pl_imperfect_existing_verb_a_form,Form_3_pl_aorist_existing_verb_form,Same_past_imperfective_tense_and_past_aorist_tense_stem,Presence_in_the_corpus_as_a_verb_with_past_imperfective_tense_with_multiple_realizations,Presence_in_the_corpus_in_general,Conjugation_of_existing_verb,Stress_on_final_syllable_in_existing_verb,Final_conjugation_vowel_cyrillic,Final_conjugation_vowel_IPA,Past_imperfective_tense_stem_ending_underlying_form_cyrillic,Past_imperfective_tense_stem_ending_underlying_form_IPA,Past_imperfective_tense_stem_ending_surface_form_cyrillic,Past_imperfective_tense_stem_ending_surface_form_IPA,Type_of_past_imperfective_tense_realization_cyrillic,Type_of_past_imperfective_tense_realization_IPA_expected,Type_of_stem,Type_of_preceding_or_final_sound,Type_of_preceding_or_final_consonant_sound_sh_or_non_sh,Past_imperfective_tense_stem_ending_when_j_ignored_cyrillic,Past_imperfective_tense_stem_ending_when_j_ignored_IPA,Form_1_sg_present_existing_verb_repeated,First_verb_beginning,Reflexive_particle_before_the_existing_verb_if_present,First_verb_continuation,First_verb_ending,First_comma_continuation,Second_verb_beginning,Reflexive_particle_existing_verb_if_present,Second_verb_continuation,Second_verb_ending,Second_comma_continuation,Third_verb_beginning,Verb_make_right_form,Third_ending_right_form,Third_verb_ending,Final_sentence,Question
1,filler,Pst-exist-str,д,d,A,train_filler_Pst-exist-str_д_d_ремедам_гледам_A,ремедам,гледам,ремеда,гледа,ремедат,гледат,ремедаше,гледаше,ремедаха,гледаха,,,,,,,,гледаха,Yes,Yes,No,III,stressed,а,a,д,d,д,d,а,a,hard,consonant,non-sh_consonant,д,d,гледам,Иван,,гледаше,телевизия,",",Петър,,ремедаше, книгата,", а",Мартин,правеше,Иван,правеше същото като Иван,"Иван гледаше телевизия, Петър ремедаше книгата, а Мартин правеше същото като Иван.",Какво правеше Мартин?
2,target,Pst-novel-str,вь,vj,A,train_target_Pst-novel-str_вь_vj_номавям_поправям_A,номавям,поправям,номавя,поправя,номавят,поправят,номавяше,поправяше,номавяха,поправяха,,,,,,,,поправяха,Yes,Yes,No,III,stressed,я,ʲa,вь,vj,вь,vʲ,ьа,ʲa,soft,consonant,non-sh_consonant,в,v,поправям,Иван,,поправяше,прозореца,",",Петър,,номавяше,колата,", а",Мартин,правеше,Петър,правеше същото като Петър,"Иван поправяше прозореца, Петър номавяше колата, а Мартин правеше същото като Петър.",Какво правеше Мартин?
3,filler,Pst-exist-unstr,д,d,A,train_filler_Pst-exist-unstr_д_d_менеждам_подреждам_A,менеждам,подреждам,менежда,подрежда,менеждат,подреждат,менеждаше,подреждаше,менеждаха,подреждаха,,,,,,,,подреждаха,Yes,No,No,III,unstressed,а,a,д,d,д,d,а,a,hard,consonant,non-sh_consonant,д,d,подреждам,Иван,,подреждаше,бюрото,",",Петър,,менеждаше,гардероба,", а",Мартин,правеше,Иван,правеше същото като Иван,"Иван подреждаше бюрото, Петър менеждаше гардероба, а Мартин правеше същото като Иван.",Какво правеше Мартин?
4,target,Pst-novel-unstr,ль,lj,A,train_target_Pst-novel-unstr_ль_lj_номелям_разделям_A,номелям,разделям,номеля,разделя,номелят,разделят,номеляше,разделяше,номеляха,разделяха,,,,,,,,разделяха,Yes,No,No,III,unstressed,я,ʲa,ль,lj,ль,lʲ,ьа,ʲa,soft,consonant,non-sh_consonant,л,l,разделям,Иван,,разделяше,чушките и доматите,",",Петър,,номеляше,ябълките и крушите,", а",Мартин,правеше,Петър,правеше същото като Петър,"Иван разделяше чушките и доматите, Петър номеляше ябълките и крушите, а Мартин правеше същото като Петър.",Какво правеше Мартин?
